gran_cavaliere mago_zap tesla tronco scheletri barile valchiria principessa S 1 3
gran_cavaliere mago_zap boia spirito_ghiaccio palla_di_fuoco mini_pekka tronco arciere V 2 1
mongolfiera boscaiolo tronco pipistrelli spirito_fuoco moschettiere golem_ghiaccio zap S 1 3
strega gigante zap fantasma_royale cimitero palla_di_fuoco zap sgherri S 0 3
gran_cavaliere principessa mago_zap domatore cavaliere principe_nero barile strega S 1 2
gran_cavaliere mago_zap tronco spirito_ghiaccio drago_infernale principessa principe_nero mini_pekka V 1 0
barbari_scelti barile_ossa strega_madre specchio mini_pekka frecce principessa duplica S 1 2
barbari_scelti minatore boia gang_goblin zap strega orda_sgherri valchiria S 1 3
gang_goblin razzo torre_infernale principessa tronco spirito_ghiaccio valchiria barile V 2 1
gran_cavaliere palla_di_fuoco fuorilegge barile_ossa specchio tronco tesla pipistrelli V 2 1
pipistrelli palla_di_fuoco domatore mago_zap scheletrini tesla fantasma_royale valchiria V 2 0
domatore palla_di_fuoco cacciatore orda_scheletri sgherri pekka boscaiolo tronco S 1 3
boscaiolo domatore pipistrelli zap torre_infernale gran_cavaliere tronco cavaliere S 1 2
principessa gigante_zap barbari_scelti tornado tesla orda_sheletri mago_zap moschettiere S 0 3
duplica barile mini_pekka palla_di_fuoco orda_sgherri orda_scheletri frecce principe V 2 1
valchiria domatore pirotecnico tronco principessa varile pipistrelli tesla V 2 1
drago_infernale barbari_scelti boia valchiria domatore golem_ghiaccio gang_goblin zap V 2 0
boscaiolo mongolfiera barile_barbari gelo arcieri palla_neve guardie_royale megasgherro V 1 0
torre_infernale principe_nero pipistrelli valchiria barile orda_scheletri golem_ghiaccio tronco S 0 1
frecce spirito_fuoco domatore principe_nero tesla moschettiere mongolfiera drago_fuoco V 3 0
scheletri pipistrelli torre_infernale arciere frecce spaccamuro valchiria minatore S 1 2
valchiria gran_cavaliere domatrice_ariete mago_zap fuorilegge drago_infernale frecce scheletri S 1 2
mago strega gran_cavaliere tronco zap mini_pekka domatrice_ariete guardie_royale S 1 3
gran_cavaliere palla_di_fuoco fuorilegge barile_ossa specchio tronco tesla pipistrelli V 2 1
gang_goblin principe_nero arciere valchiria zap principe mago bombarolo S 1 3
lancieri spaccamuro arciere tornado palla_di_fuoco minatore valchiria torre_bombardiera V 2 1
mago domatore cavaliere torre_infernale valchiria principessa boscaiolo mago_zap V 2 1
mongolfiera specchio duplica furia tronco barile_ossa orda_scheletri gran_cavaliere V 3 1
spirito_fuoco arcieri bombarolo frecce pipistrelli scheletro_gigante mongolfiera moschettiere V 3 2
boscaiolo palla_di_fuoco mago_zap tronco mini_pekka barbari_scelti pipistrelli principe S 2 3
pekka zap veleno gang_goblin arcieri megasgherro spirito_ghiaccio principe_nero V 3 1
gran_cavaliere principessa gigante_royale orda_sgherri barile domatore fuorilegge tronco S 1 2
spirito_ghiaccio scheletri domatore cannone moschettiere golem_ghiaccio palla_di_fuoco tronco V 2 1
mago orda_sgherri fuorilegge barbari_scelti gran_cavaliere orda_scheletri boscaiolo principe_nero S 0 3
lancieri goblin gang_goblin gabbia_goblin cerbottana zap barile capanna V 3 1
mini_pekka tesla mingolfiera pirotecnico boscaiolo fuorilegge tronco strega S 0 3
spirito_ghiaccio spirito_zap scheletrini arcieri tesla cavaliere palla_di_fuoco arco_x S 0 1
tesla arco_x tronco cavaliere tornado razzo mago_ghiaccio scheletrini V 1 0
spirito_ghiaccio cavaliere tronco arcieri tesla palla_di_fuoco scheletrini arco_x V 1 0
specchio tronco principessa strega gran_cavaliere minatore moschettiere orda_scheletri S 1 2
fuorilegge zap drago gran_cavaliere fantasma_royale tronco orda_sgherri specchio V 3 1
barile mini_pekka torre_infernale frecce barile_ossa tronco gran_cavaliere specchio S 1 2
drago_infernale megasgherro boscaiolo domatore principessa valchiria veleno gran_cavaliere V 2 1
pekka mago zap gelo pipistrelli palla_di_fuoco orda_scheletri mini_pekka S 1 2
mongolfiera boscaiolo pipistrelli moschettiere golem_ghiaccio tronco gabbia_goblin palla_neve V 3 0
mago specchio cavaliere_nero barile tornado mongolfiera cannone orda_scheletri S 1 3
frecce pirotecnico golem_elisir arcieri mago gran_cavaliere drago_infernale valchiria V 2 1
pipistrelli principessa barile tronco orda_scheletri mongolfiera drago_infernale gran_cavaliere S 1 2
domatore arciere spirito_fuoco scheletri valchiria tesla tronco terremoto S 1 2
gigante_royale gabbia_goblin mago_zap principe_nero minatore barile_barbaro zap tornado V 3 1
valchiria arcieri bombarolo spirito_cura barile_ossa scheletri_gigante mago mago_zap S 1 2
fuorilegge drago_infernale strega barile orda_scheletri gran_cavaliere arcieri tronco S 1 2
gigante furia strega bocciatore mago_zap zap sgherri arcieri V 3 0
pekka barile_goblin principe_nero veleno domatore_ariete mago_zap fuorilegge strega_madre V 2 1
strega barile valchiria mago_zap tronco gran_cavaliere orda_scheletri arcieri S 0 1
tronco domatore valchiria scheletrini tesla spirito_fuoco fulmine pirotecnico V 2 1
valchiria gigante_zap mago_zap tornado terremoto zap scintilla mini_pekka V 3 0
tornado arcieri minatore torre_bombardiera cavaliere tronco arciere spaccamuro S 0 1
specchio drago_infernale duplica principessa zap orda_scheletri gigante_royale scheletro_gigante V 3 2
